Id,Income_base_type,Credit_purpose,Insurance_flag,DTI,Sex,Full_age_child_number,Education,Empl_type,Empl_size,Period_at_work,age,Empl_property,Empl_form,Family_status,Max_90_days,Avg_num_delay,If_zalog,Num_account_active_180,Active_to_all_prc,Num_account_active_all,Num_account_closed,Sum_of_paym_months,All_credits,Active_not_cc,Own_closed,Min_mnth_after_loan,Max_mnth_after_loan,Dlq_exist,Ninety_vintage
129,Форма банка (без печати работодателя),Ремонт,1.0,0.35,женский,0,незаконченное высшее,менеджер среднего звена,>=100,,,,,,,,,,,,,,,,,,,,
130,Поступление зарплаты на счет,Ремонт,0.0,0.44,женский,1,высшее,вспомогательный персонал,>=150,,,,,,,,,,,,,,,,,,,,
131,Поступление зарплаты на счет,Ремонт,1.0,0.59,женский,1,Высшее/Второе высшее/Ученая степень,вспомогательный персонал,>250,13.0,54.0,Другое,ООО,женат / замужем,2.0,0.0454545455,0.0,2.0,0.5,3.0,3.0,21.0,6.0,1.0,0.0,2.0,26.0,1.0,0.0
132,2НДФЛ,Ремонт,1.0,0.31,женский,0,высшее,специалист,>100,,,,,,,,,,,,,,,,,,,,
133,Форма банка (без печати работодателя),Ремонт,1.0,0.29,мужской,0,высшее,специалист,>250,9.0,24.0,Строительство,,,,,,,,,,,,,,,,,
134,Форма банка (без печати работодателя),Отпуск,1.0,0.55,женский,2,Высшее/Второе высшее/Ученая степень,специалист,>250,140.0,35.0,Наука,,,,,,,,,,,,,,,,,
135,2НДФЛ,Покупка автомобиля,1.0,0.4,мужской,0,высшее,менеджер среднего звена,>=200,,,,,,,,,,,,,,,,,,,,
136,Поступление зарплаты на счет,Ремонт,0.0,0.16,женский,0,высшее,менеджер по продажам,>250,79.0,35.0,Информационные технологии,ОАО,холост / не замужем,1.0,0.0615384615,0.0,0.0,0.3333333333,1.0,2.0,61.0,3.0,1.0,2.0,15.0,72.0,1.0,0.0
137,Поступление зарплаты на счет,Ремонт,1.0,0.48,мужской,0,высшее,рабочий,>250,66.0,29.0,Другое,ООО,разведен / разведена,3.0,0.16,0.0,1.0,0.1,1.0,9.0,63.0,10.0,1.0,2.0,0.0,42.0,1.0,0.0
138,Поступление зарплаты на счет,Ремонт,1.0,0.3,мужской,0,высшее,специалист,>250,19.0,27.0,Другое,ООО,холост / не замужем,1.0,0.0,1.0,0.0,0.5,1.0,1.0,15.0,2.0,0.0,0.0,24.0,41.0,0.0,0.0
139,Поступление зарплаты на счет,Покупка мебели,0.0,0.36,мужской,0,среднее-специальное,специалист,>250,14.0,28.0,Торговля,ЗАО,холост / не замужем,1.0,0.1492537313,0.0,0.0,0.42857142859999997,3.0,4.0,57.0,7.0,1.0,0.0,9.0,102.0,1.0,0.0
140,Поступление зарплаты на счет,Ремонт,1.0,0.5,мужской,0,высшее,специалист,>250,27.0,24.0,Другое,ООО,холост / не замужем,1.0,0.028571428599999997,0.0,0.0,0.5,3.0,3.0,68.0,6.0,0.0,0.0,10.0,20.0,1.0,0.0
141,Поступление зарплаты на счет,Покупка недвижимости/ строительство,1.0,0.5,мужской,2,второе высшее,специалист,>250,12.0,36.0,Производство,,,,,,,,,,,,,,,,,
142,2НДФЛ,Другое,0.0,,мужской,0,высшее,другое,,146.0,34.0,Финансы,,,,,,,,,,,,,,,,,
143,2НДФЛ,Покупка недвижимости/ строительство,0.0,0.53,женский,0,высшее,специалист,>=50,,,,,,,,,,,,,,,,,,,,
144,Поступление зарплаты на счет,Обучение,0.0,0.21,мужской,0,высшее,специалист,>250,17.0,28.0,Торговля,ООО,женат / замужем,0.0,0.0,0.0,0.0,1.0,1.0,0.0,11.0,1.0,1.0,0.0,10.0,10.0,0.0,0.0
145,Форма банка (без печати работодателя),Ремонт,1.0,0.47,мужской,1,среднее-специальное,специалист,>250,22.0,32.0,Информационные технологии,ООО,женат / замужем,1.0,0.026785714300000003,0.0,0.0,0.75,3.0,1.0,109.0,4.0,1.0,1.0,11.0,94.0,1.0,0.0
146,Форма банка (без печати работодателя),Ремонт,1.0,0.52,мужской,2,среднее-специальное,вспомогательный персонал,>250,129.0,37.0,Транспорт,,,,,,,,,,,,,,,,,
147,Форма банка (без печати работодателя),Отпуск,1.0,0.53,женский,1,высшее,специалист,>=50,,,,,,,,,,,,,,,,,,,,
148,Форма банка (без печати работодателя),Ремонт,1.0,0.1,мужской,0,второе высшее,менеджер высшего звена,< 50,33.0,45.0,Другое,ЗАО,женат / замужем,,,,,,,,,,,,,,,
149,Поступление зарплаты на счет,Ремонт,0.0,0.2,мужской,0,высшее,специалист,>250,17.0,30.0,Другое,ООО,холост / не замужем,3.0,,,,,,,,,,,,,,
150,Форма банка (без печати работодателя),Ремонт,0.0,0.4,мужской,1,Высшее/Второе высшее/Ученая степень,рабочий,>=100,,,,,,,,,,,,,,,,,,,,
151,Поступление зарплаты на счет,Отпуск,1.0,0.43,женский,1,незаконченное высшее,специалист,>250,9.0,26.0,Торговля,ООО,женат / замужем,2.0,0.303030303,1.0,1.0,0.3333333333,1.0,2.0,23.0,3.0,1.0,0.0,4.0,64.0,1.0,0.0
152,Форма банка (без печати работодателя),Ремонт,1.0,0.38,мужской,0,среднее,специалист,< 50,22.0,46.0,Торговля,ООО,холост / не замужем,3.0,0.1071428571,1.0,0.0,0.3333333333,1.0,2.0,150.0,3.0,0.0,1.0,48.0,80.0,1.0,0.0
153,Форма банка (без печати работодателя),Ремонт,0.0,0.4,мужской,0,Высшее/Второе высшее/Ученая степень,менеджер высшего звена,>=50,,,,,,,,,,,,,,,,,,,,
154,Свободная форма с печатью работодателя,Ремонт,0.0,0.27,мужской,2,высшее,специалист,>100,,,,,,,,,,,,,,,,,,,,
155,Поступление зарплаты на счет,Покупка автомобиля,0.0,0.44,женский,1,незаконченное высшее,специалист,>=200,,,,,,,,,,,,,,,,,,,,
156,Поступление зарплаты на счет,Покупка недвижимости/ строительство,1.0,0.59,мужской,2,среднее-специальное,рабочий,>250,42.0,41.0,Производство,,,,,,,,,,,,,,,,,
157,2НДФЛ,Покупка автомобиля,1.0,0.56,мужской,2,высшее,менеджер среднего звена,>=150,,,,,,,,,,,,,,,,,,,,
158,2НДФЛ,Покупка автомобиля,1.0,0.19,мужской,2,высшее,специалист,>250,55.0,38.0,Производство,,,,,,,,,,,,,,,,,
159,2НДФЛ,Покупка недвижимости/ строительство,1.0,0.31,мужской,0,высшее,менеджер высшего звена,< 50,12.0,42.0,Торговля,ООО,женат / замужем,0.0,0.0625,0.0,0.0,1.0,1.0,0.0,15.0,1.0,1.0,0.0,15.0,15.0,1.0,0.0
160,Форма банка (без печати работодателя),Покупка автомобиля,0.0,0.09,мужской,0,высшее,менеджер среднего звена,< 50,18.0,27.0,Производство,,,,,,,,,,,,,,,,,
161,Поступление зарплаты на счет,Ремонт,0.0,0.34,женский,0,высшее,менеджер среднего звена,>250,20.0,26.0,Производство,,,,,,,,,,,,,,,,,
162,2НДФЛ,Ремонт,1.0,0.38,женский,0,высшее,вспомогательный персонал,< 50,81.0,45.0,Торговля,ООО,холост / не замужем,7.0,0.0347222222,0.0,1.0,0.375,3.0,5.0,139.0,8.0,1.0,0.0,1.0,102.0,1.0,0.0
163,2НДФЛ,Ремонт,1.0,0.59,женский,1,высшее,менеджер среднего звена,>=50,,,,,,,,,,,,,,,,,,,,
164,Свободная форма с печатью работодателя,Покупка автомобиля,1.0,0.44,мужской,0,высшее,менеджер среднего звена,< 50,12.0,36.0,Торговля,ООО,холост / не замужем,5.0,0.2901234568,1.0,0.0,0.6,6.0,4.0,115.0,10.0,3.0,1.0,6.0,92.0,1.0,1.0
165,Форма банка (без печати работодателя),Ремонт,0.0,0.17,мужской,1,высшее,менеджер среднего звена,>250,30.0,38.0,Производство,,,,,,,,,,,,,,,,,
166,2НДФЛ,Покупка мебели,1.0,0.44,женский,1,высшее,специалист,>100,,,,,,,,,,,,,,,,,,,,
167,Форма банка (без печати работодателя),Ремонт,1.0,0.29,женский,0,среднее-специальное,вспомогательный персонал,>=50,,,,,,,,,,,,,,,,,,,,
168,Поступление зарплаты на счет,Покупка недвижимости/ строительство,0.0,0.21,мужской,0,высшее,менеджер среднего звена,>250,76.0,49.0,Строительство,,,,,,,,,,,,,,,,,
169,Форма банка (без печати работодателя),Покупка бытовой техники,1.0,0.18,женский,2,Высшее/Второе высшее/Ученая степень,менеджер среднего звена,>=100,,,,,,,,,,,,,,,,,,,,
170,Поступление зарплаты на счет,Ремонт,0.0,0.33,мужской,1,среднее-специальное,вспомогательный персонал,>250,23.0,39.0,Торговля,ООО,женат / замужем,1.0,,,,,,,,,,,,,,
171,Форма банка (без печати работодателя),Ремонт,0.0,0.54,мужской,0,Высшее/Второе высшее/Ученая степень,специалист,>250,12.0,28.0,Финансы,,,,,,,,,,,,,,,,,
172,Форма банка (без печати работодателя),Ремонт,1.0,0.34,женский,2,незаконченное высшее,менеджер высшего звена,< 50,214.0,35.0,Строительство,,,,,,,,,,,,,,,,,
173,Форма банка (без печати работодателя),Ремонт,0.0,0.16,мужской,0,высшее,менеджер по продажам,>250,61.0,29.0,Производство,,,,,,,,,,,,,,,,,
174,Форма банка (без печати работодателя),Покупка бытовой техники,1.0,0.26,мужской,2,высшее,специалист,>250,60.0,43.0,Информационные технологии,ООО,женат / замужем,0.0,0.0161290323,0.0,0.0,0.25,1.0,3.0,61.0,4.0,0.0,2.0,40.0,82.0,1.0,0.0
175,2НДФЛ,Ремонт,0.0,0.59,мужской,0,высшее,менеджер среднего звена,>250,69.0,25.0,Финансы,,,,,,,,,,,,,,,,,
176,2НДФЛ,Ремонт,1.0,0.18,мужской,0,высшее,рабочий,>=150,,,,,,,,,,,,,,,,,,,,
177,2НДФЛ,Ремонт,1.0,0.49,женский,0,высшее,менеджер среднего звена,>=50,,,,,,,,,,,,,,,,,,,,
178,2НДФЛ,Ремонт,1.0,0.49,женский,1,среднее-специальное,вспомогательный персонал,>250,46.0,47.0,Торговля,ЗАО,женат / замужем,2.0,0.20689655170000001,0.0,2.0,0.42857142859999997,3.0,4.0,92.0,7.0,2.0,0.0,1.0,80.0,1.0,0.0
179,2НДФЛ,Покупка недвижимости/ строительство,0.0,0.46,мужской,1,высшее,менеджер высшего звена,< 50,6.0,31.0,Торговля,ООО,разведен / разведена,6.0,0.1680672269,1.0,0.0,0.2,2.0,8.0,99.0,10.0,2.0,0.0,9.0,75.0,1.0,0.0
180,Форма банка (без печати работодателя),Ремонт,0.0,0.23,мужской,0,высшее,специалист,>=200,,,,,,,,,,,,,,,,,,,,
181,2НДФЛ,Ремонт,0.0,0.19,мужской,1,высшее,специалист,< 50,16.0,31.0,Информационные технологии,Иная форма,женат / замужем,0.0,0.2654028436,1.0,1.0,0.5,4.0,4.0,155.0,8.0,1.0,2.0,2.0,94.0,1.0,0.0
